iter	RMSE
0	15.9766859
1	15.473477
2	14.99738495
3	14.53836089
4	14.10235885
5	13.67816837
6	13.27362387
7	12.89364927
8	12.53026135
9	12.1766898
10	11.8380327
11	11.51663165
12	11.20529862
13	10.91208923
14	10.63266595
15	10.36555498
16	10.11206335
17	9.864595572
18	9.630216891
19	9.411570872
20	9.196822644
21	8.996733708
22	8.802602328
23	8.624260142
24	8.445958854
25	8.274738372
26	8.11228051
27	7.962147434
28	7.813246119
29	7.670460694
30	7.538016864
31	7.411358516
32	7.287782551
33	7.172819526
34	7.058875808
35	6.952335413
36	6.851854016
37	6.753429555
38	6.663523956
39	6.57772721
40	6.49415335
41	6.414820301
42	6.33884614
43	6.265946411
44	6.199574534
45	6.133295989
46	6.071638533
47	6.010171414
48	5.95535515
49	5.900963045
50	5.847467626
51	5.798126027
52	5.749618192
53	5.704372002
54	5.664744449
55	5.62320491
56	5.584839956
57	5.546299446
58	5.508371628
59	5.471977246
60	5.438476345
61	5.408188988
62	5.377657819
63	5.34722853
64	5.317749408
65	5.29005845
66	5.265376465
67	5.238372731
68	5.213181723
69	5.190476193
70	5.168353574
71	5.146401255
72	5.126276304
73	5.105059805
74	5.08593987
75	5.068699385
76	5.052861825
77	5.033904098
78	5.018267545
79	5.001083632
80	4.987237979
81	4.970230218
82	4.955746736
83	4.93769739
84	4.922878764
85	4.908929603
86	4.89640442
87	4.881314993
88	4.867227909
89	4.856121698
90	4.8440789
91	4.833065388
92	4.823328908
93	4.812516086
94	4.800292248
95	4.787998904
96	4.779770327
97	4.768589597
98	4.760391474
99	4.752193775
100	4.743949172
101	4.733862534
102	4.724833413
103	4.717407136
104	4.71051009
105	4.701224632
106	4.693592303
107	4.686341753
108	4.680124694
109	4.674571345
110	4.667219058
111	4.657662457
112	4.647618351
113	4.64041563
114	4.635178402
115	4.628399265
116	4.622118708
117	4.613596164
118	4.606912102
119	4.600635252
120	4.594296653
121	4.589513747
122	4.584115306
123	4.579068468
124	4.573081581
125	4.568188925
126	4.562806698
127	4.556433855
128	4.552306368
129	4.546892513
130	4.541207284
131	4.534775935
132	4.529568594
133	4.525042135
134	4.520327201
135	4.515215128
136	4.510981762
137	4.507531036
138	4.502273508
139	4.497878985
140	4.491989539
141	4.487120703
142	4.482170994
143	4.476806097
144	4.471691241
145	4.467469594
146	4.464888912
147	4.459529213
148	4.455378431
149	4.452584999
150	4.447884763
151	4.444549752
152	4.440028693
153	4.436345335
154	4.432891802
155	4.429148969
156	4.425494611
157	4.421731621
158	4.416055164
159	4.41279903
160	4.409134853
161	4.404495681
162	4.40015047
163	4.397362807
164	4.394530236
165	4.390500532
166	4.386404533
167	4.38381661
168	4.379893961
169	4.376123088
170	4.371984737
171	4.36918957
172	4.366544512
173	4.364623502
174	4.363133202
175	4.360006912
176	4.355511525
177	4.352477163
178	4.349431539
179	4.344952596
180	4.341618152
181	4.338135821
182	4.334629375
183	4.331837384
184	4.327868538
185	4.323832066
186	4.321046215
187	4.317818171
188	4.315186963
189	4.311178716
190	4.308912525
