iter	Passed	Remaining
0	74	59865
1	149	59695
2	230	61232
3	307	61228
4	389	61941
5	465	61666
6	545	61764
7	615	60941
8	691	60740
9	771	60936
10	855	61333
11	937	61584
12	1027	62220
13	1125	63210
14	1218	63776
15	1311	64239
16	1391	64086
17	1475	64092
18	1555	63926
19	1627	63470
20	1709	63428
21	1786	63183
22	1869	63149
23	1945	62909
24	2027	62857
25	2222	66149
26	2336	66881
27	2413	66541
28	2491	66240
29	2572	66028
30	2656	65905
31	2734	65636
32	2811	65340
33	2888	65084
34	2973	65002
35	3048	64700
36	3124	64432
37	3203	64248
38	3283	64072
39	3352	63703
40	3427	63444
41	3499	63156
42	3575	62952
43	3652	62753
44	3728	62564
45	3808	62419
46	3882	62207
47	3962	62082
48	4040	61920
49	4113	61697
50	4191	61559
51	4268	61395
52	4344	61230
53	4415	61002
54	4501	60980
55	4584	60906
56	4670	60876
57	4741	60664
58	4824	60592
59	4907	60524
60	4989	60452
61	5061	60248
62	5141	60143
63	5214	59962
64	5297	59897
65	5378	59811
66	5450	59635
67	5529	59522
68	5628	59626
69	5710	59557
70	5786	59413
71	5866	59316
72	5941	59170
73	6020	59069
74	6100	58970
75	6175	58827
76	6250	58691
77	6329	58592
78	6406	58473
79	6483	58349
80	6558	58218
81	6642	58162
82	6717	58029
83	6788	57862
84	6865	57748
85	6949	57693
86	7031	57626
87	7106	57496
88	7182	57376
89	7256	57245
90	7339	57183
91	7415	57066
92	7495	56982
93	7566	56829
94	7653	56793
95	7724	56645
96	7799	56525
97	7874	56410
98	7960	56365
99	8037	56264
100	8117	56179
101	8194	56072
102	8269	55957
103	8347	55862
104	8435	55833
105	8511	55728
106	8593	55655
107	8669	55550
108	8744	55432
109	8812	55279
110	8893	55205
111	8971	55108
112	9053	55042
113	9126	54920
114	9202	54812
115	9275	54693
116	9354	54609
117	9430	54503
118	9505	54394
119	9583	54306
120	9663	54229
121	9734	54097
122	9806	53977
123	9879	53861
124	9958	53776
125	10029	53647
126	10107	53559
127	10181	53452
128	10251	53324
129	10329	53235
130	10405	53139
131	10476	53017
132	10554	52929
133	10639	52881
134	10718	52797
135	10787	52666
136	10861	52561
137	10937	52470
138	11019	52402
139	11091	52289
140	11168	52199
141	11243	52099
142	11327	52042
143	11409	51974
144	11489	51899
145	11568	51820
146	11650	51753
147	11722	51640
148	11802	51568
149	11885	51504
150	11970	51447
151	12042	51339
152	12117	51240
153	12189	51132
154	12262	51028
155	12342	50950
156	12429	50906
157	12506	50818
158	12596	50782
159	12668	50673
160	12745	50587
161	12823	50503
162	12902	50423
163	12978	50330
164	13059	50258
165	13140	50186
166	13222	50120
